step,b0_x,b0_y,b0_z,b1_x,b1_y,b1_z,b2_x,b2_y,b2_z,b3_x,b3_y,b3_z,b4_x,b4_y,b4_z,b5_x,b5_y,b5_z,b6_x,b6_y,b6_z,b7_x,b7_y,b7_z,b8_x,b8_y,b8_z,b9_x,b9_y,b9_z,b10_x,b10_y,b10_z,b11_x,b11_y,b11_z
33,0.290850669,-0.259406865,8.24404144,0.659522057,-0.148077056,7.79044342,1.09532106,-0.000511445105,7.34692287,1.58096731,-0.114531159,6.88883257,1.89714909,-0.0414660275,6.33651161,2.10333443,0.0718697831,5.79609108,2.33617759,-0.118464231,5.27379084,2.67407107,-0.0457060933,4.82868433,3.20015264,0.0682783574,4.49137211,3.63735104,-0.0948179439,4.00460863,3.86960411,-0.0777029023,3.40754199,3.94000626,0.119715445,2.94951439
34,0.3007918,-0.266738296,8.14345551,0.669279277,-0.155484512,7.69151545,1.10687351,-0.00796223991,7.24985456,1.59500515,-0.117559575,6.79270935,1.90898228,-0.0456579849,6.23912764,2.11060023,0.0672725141,5.69807577,2.34075856,-0.121860251,5.17504692,2.6772995,-0.0494774468,4.73203516,3.20675945,0.0628651306,4.3993206,3.64600897,-0.0975712314,3.9122541,3.87348318,-0.0823260248,3.31327486,3.93508291,0.116079897,2.85922432
35,0.310807467,-0.27405113,8.04008675,0.679109693,-0.162878245,7.58981991,1.11848223,-0.0154545028,7.1500349,1.60901845,-0.120580591,6.69382429,1.92077148,-0.0498491861,6.1390028,2.11785483,0.0626757964,5.59733963,2.34539795,-0.125250936,5.07357216,2.68058586,-0.0532193184,4.63266134,3.21335292,0.0574119538,4.30452681,3.65461898,-0.100324713,3.81714082,3.87729597,-0.0869111493,3.21630192,3.93014336,0.112417415,2.76632524
36,0.32089746,-0.281345308,7.93393517,0.6890136,-0.17025803,7.48535728,1.13014674,-0.022986941,7.04746532,1.62300503,-0.123595156,6.59217882,1.9325161,-0.054040622,6.03613806,2.12509847,0.0580800809,5.49388266,2.35009527,-0.128636003,4.9693675,2.68393087,-0.056932658,4.5305624,3.21993375,0.0519198813,4.20698977,3.66317892,-0.103078589,3.71926999,3.88104272,-0.0914593637,3.1166234,3.92519021,0.108728886,2.6708138
37,0.331061453,-0.28862077,7.82500172,0.698991179,-0.177623644,7.37812853,1.14186645,-0.0305582024,6.9421463,1.63696289,-0.126604185,6.48777437,1.94421577,-0.058233276,5.93053436,2.13233161,0.053485781,5.3877058,2.35485029,-0.132015169,4.86243296,2.68733525,-0.0606183931,4.42573786,3.22650218,0.046389956,4.106709,3.67168713,-0.105833061,3.61864233,3.88472342,-0.0959717184,3.01423979,3.92022586,0.105015181,2.57268667
38,0.341299176,-0.295877427,7.71328735,0.709042668,-0.184974864,7.26813412,1.15364087,-0.0381669439,6.83407927,1.65088999,-0.129608616,6.3806119,1.95587015,-0.0624281019,5.82219362,2.13955498,0.048893258,5.27880859,2.35966206,-0.135388151,4.75276899,2.69079947,-0.0642774329,4.31818676,3.23305845,0.0408232473,4.00368404,3.68014145,-0.108588353,3.51525903,3.88833833,-0.100449249,2.90915132,3.91525245,0.101277128,2.47194076
39,0.351610333,-0.303115249,7.59879351,0.719168246,-0.192311481,7.15537453,1.16546953,-0.0458117947,6.72326469,1.66478443,-0.132609367,6.27069235,1.96747887,-0.0666260049,5.71111631,2.14676905,0.0443028212,5.16719151,2.36453032,-0.138754666,4.64037609,2.69432425,-0.067910634,4.20790911,3.23960328,0.0352207981,3.89791417,3.68853998,-0.11134468,3.40912056,3.89188743,-0.104892969,2.80135846,3.91027212,0.0975155607,2.36857295
40,0.361994594,-0.310334176,7.48152018,0.729368091,-0.199633315,7.03985071,1.17735171,-0.0534913614,6.60970354,1.6786443,-0.135607362,6.15801716,1.97904193,-0.0708279014,5.59730387,2.15397429,0.0397147536,5.05285501,2.36945462,-0.142114416,4.52525425,2.69791031,-0.0715188608,4.09490395,3.24613714,0.0295836702,3.78939891,3.69688106,-0.114102297,3.30022812,3.8953712,-0.109303854,2.69086146,3.90528727,0.0937312543,2.26258016
41,0.372451693,-0.317534178,7.36146879,0.739642322,-0.206940144,6.92156315,1.18928695,-0.0612042509,6.49339676,1.69246793,-0.138603523,6.04258728,1.99055898,-0.0750346556,5.48075676,2.16117144,0.0351292863,4.93579865,2.37443471,-0.145467132,4.40740395,2.70155811,-0.0751029402,3.97917128,3.25266004,0.0239129215,3.67813754,3.70516276,-0.116861448,3.18858242,3.89878988,-0.113682866,2.5776608,3.90029979,0.0899249837,2.15395975
42,0.382981271,-0.324715227,7.23863983,0.749991119,-0.214231819,6.80051279,1.20127475,-0.0689490512,6.3743453,1.70625353,-0.141598761,5.92440319,2.00203013,-0.079247117,5.36147642,2.16836095,0.0305466298,4.81602287,2.37946987,-0.148812547,4.28682518,2.70526838,-0.0786636844,3.86071014,3.25917268,0.0182096399,3.56412983,3.71338344,-0.119622394,3.07418442,3.90214372,-0.118030943,2.46175671,3.89531136,0.0860974863,2.04270864
43,0.393583,-0.331877321,7.11303425,0.760414541,-0.221508145,6.67670059,1.21331441,-0.0767243356,6.25255013,1.71999943,-0.144593999,5.80346632,2.01345515,-0.0834660977,5.23946333,2.17554331,0.0259669572,4.6935277,2.38455963,-0.152150378,4.16351843,2.7090416,-0.0822018981,3.73952031,3.26567507,0.0124749076,3.4473753,3.72154164,-0.122385427,2.95703483,3.90543294,-0.122349001,2.34314919,3.89032412,0.0822494924,1.92882431
44,0.404256523,-0.339020401,6.98465252,0.770912707,-0.22876896,6.55012655,1.22540534,-0.0845286697,6.1280117,1.73370409,-0.14759016,5.67977762,2.02483416,-0.08769238,5.11471844,2.18271923,0.0213904008,4.56831312,2.38970375,-0.155480355,4.03748417,2.71287799,-0.0857183561,3.6156013,3.27216768,0.0067098015,3.32787371,3.72963524,-0.12515083,2.8371346,3.90865803,-0.126637906,2.22183871,3.88533974,0.07838168,1.81230414
45,0.415001452,-0.346144497,6.85349607,0.781485558,-0.236014113,6.42079163,1.23754692,-0.0923606008,6.00073099,1.74736607,-0.15058814,5.55333805,2.03616714,-0.0919267386,4.9872427,2.18988943,0.0168170668,4.44037914,2.39490151,-0.158802211,3.90872264,2.71677804,-0.0892138183,3.48895288,3.27865076,0.000915437937,3.20562434,3.73766303,-0.127918914,2.71448421,3.91181922,-0.130898535,2.09782529,3.88036013,0.0744947344,1.69314551
46,0.42581737,-0.353249669,6.71956539,0.792133152,-0.243243441,6.28869677,1.24973845,-0.100218661,5.87070894,1.76098394,-0.153588846,5.42414856,2.04745412,-0.0961699188,4.85703659,2.19705439,0.012247039,4.30972576,2.40015268,-0.162115693,3.77723408,2.72074223,-0.0926890299,3.35957456,3.2851243,-0.00490709767,3.0806272,3.74562335,-0.130690008,2.58908463,3.91491699,-0.135131702,1.97110915,3.87538671,0.070589304,1.57134604
47,0.43670392,-0.360335886,6.58286142,0.802855432,-0.25045681,6.15384245,1.26197934,-0.10810139,5.73794603,1.77455628,-0.156593189,5.29220963,2.05869555,-0.100422636,4.72410107,2.20421457,0.00768038863,4.17635298,2.40545702,-0.165420547,3.64301848,2.72477102,-0.0961447433,3.22746587,3.29158878,-0.0107566901,2.95288157,3.75351477,-0.133464456,2.46093655,3.91795158,-0.13933821,1.84169054,3.87042141,0.0666660219,1.44690335
48,0.447660625,-0.367403209,6.44338512,0.813652337,-0.257654101,6.01622915,1.27426898,-0.116007313,5.60244322,1.78808177,-0.159602076,5.15752268,2.06989145,-0.104685567,4.5884366,2.21137071,0.00311713945,4.04026031,2.41081381,-0.16871652,3.50607634,2.72886491,-0.0995816737,3.09262657,3.29804444,-0.0166322235,2.82238722,3.76133585,-0.136242598,2.33004069,3.92092323,-0.14351882,1.70956957,3.8654654,0.0627254993,1.31981516
49,0.458687037,-0.374451667,6.30113697,0.824523747,-0.264835179,5.87585831,1.28660667,-0.12393494,5.46420097,1.80155921,-0.162616402,5.02008772,2.08104229,-0.108959377,4.45004368,2.21852326,-0.0014426955,3.90144825,2.41622257,-0.172003403,3.36640787,2.73302388,-0.103000522,2.95505643,3.30449128,-0.0225325581,2.6891439,3.76908517,-0.139024809,2.19639778,3.92383242,-0.147674307,1.57474637,3.86052036,0.0587683208,1.19007933
50,0.46978277,-0.38148132,6.15611839,0.835469663,-0.271999925,5.73272991,1.29899168,-0.131882802,5.32321978,1.81498742,-0.165637076,4.87990618,2.09214807,-0.11324469,4.30892324,2.22567296,-0.0059991302,3.75991631,2.42168307,-0.175280958,3.22401333,2.73724842,-0.10640198,2.8147552,3.31092954,-0.0284565724,2.55315137,3.77676153,-0.141811475,2.06000829,3.92667961,-0.151805356,1.43722117,3.85558772,0.0547950529,1.05769372
