# object  ghidra-address  method  class+slot
# generated by tools/gen_vtable_callsites.py — see its docstring
MdtWorld.o 0x00011100 kd_MeDebugDrawAPI_line MeDebugDrawAPI+0x00
MeASELoad.o 0x0001003d kd_MeMemoryAPI_destroy MeMemoryAPI+0x0c
MeASELoad.o 0x00010054 kd_MeMemoryAPI_destroy MeMemoryAPI+0x0c
MeASELoad.o 0x0001008b kd_MeMemoryAPI_destroy MeMemoryAPI+0x0c
MeASELoad.o 0x000100a4 kd_MeMemoryAPI_destroy MeMemoryAPI+0x0c
MeASELoad.o 0x000100b4 kd_MeMemoryAPI_destroy MeMemoryAPI+0x0c
MeASELoad.o 0x000100c4 kd_MeMemoryAPI_destroy MeMemoryAPI+0x0c
MeASELoad.o 0x000100d4 kd_MeMemoryAPI_destroy MeMemoryAPI+0x0c
MeASELoad.o 0x0001014a kd_MeMemoryAPI_create MeMemoryAPI+0x00
MeASELoad.o 0x00010643 kd_MeMemoryAPI_createZeroed MeMemoryAPI+0x04
MeASELoad.o 0x00010a4a kd_MeMemoryAPI_resize MeMemoryAPI+0x14
MeASELoad.o 0x00010a9a kd_MeMemoryAPI_resize MeMemoryAPI+0x14
MeASELoad.o 0x00010cdc kd_MeMemoryAPI_resize MeMemoryAPI+0x14
MeASELoad.o 0x000112ed kd_MeMemoryAPI_resize MeMemoryAPI+0x14
MeASELoad.o 0x00011359 kd_MeMemoryAPI_resize MeMemoryAPI+0x14
MeASELoad.o 0x00011572 kd_MeMemoryAPI_create MeMemoryAPI+0x00
MeASELoad.o 0x000115b0 kd_MeMemoryAPI_create MeMemoryAPI+0x00
MeAssetDB.o 0x0001007a kd_MeMemoryAPI_create MeMemoryAPI+0x00
MeAssetDB.o 0x0001012c kd_MeMemoryAPI_destroy MeMemoryAPI+0x0c
MeAssetDB.o 0x00010159 kd_MeMemoryAPI_createZeroed MeMemoryAPI+0x04
MeAssetDB.o 0x00010168 kd_MeMemoryAPI_create MeMemoryAPI+0x00
MeAssetDB.o 0x000101c8 kd_MeMemoryAPI_destroy MeMemoryAPI+0x0c
MeAssetDB.o 0x000101d1 kd_MeMemoryAPI_destroy MeMemoryAPI+0x0c
MeAssetDB.o 0x0001022a kd_MeMemoryAPI_createZeroed MeMemoryAPI+0x04
MeAssetDB.o 0x00010239 kd_MeMemoryAPI_create MeMemoryAPI+0x00
MeAssetDB.o 0x000103a2 kd_MeMemoryAPI_create MeMemoryAPI+0x00
MeAssetDB.o 0x000103cb kd_MeMemoryAPI_destroy MeMemoryAPI+0x0c
MeAssetDBXMLIO.o 0x00010291 kd_MeMemoryAPI_create MeMemoryAPI+0x00
MeAssetDBXMLIO.o 0x000102af kd_MeMemoryAPI_destroy MeMemoryAPI+0x0c
MeAssetDBXMLIO.o 0x000102d8 kd_MeMemoryAPI_create MeMemoryAPI+0x00
MeAssetDBXMLIO.o 0x000102fa kd_MeMemoryAPI_destroy MeMemoryAPI+0x0c
MeAssetDBXMLIO.o 0x00010318 kd_MeMemoryAPI_create MeMemoryAPI+0x00
MeAssetDBXMLIO.o 0x00010343 kd_MeMemoryAPI_destroy MeMemoryAPI+0x0c
