step,b0_x,b0_y,b0_z,b1_x,b1_y,b1_z,b2_x,b2_y,b2_z,b3_x,b3_y,b3_z,b4_x,b4_y,b4_z,b5_x,b5_y,b5_z,b6_x,b6_y,b6_z,b7_x,b7_y,b7_z,b8_x,b8_y,b8_z,b9_x,b9_y,b9_z,b10_x,b10_y,b10_z,b11_x,b11_y,b11_z
33,0.290850729,-0.259406924,8.24404049,0.659522235,-0.148077071,7.79044342,1.09532118,-0.000511478225,7.34692287,1.58096743,-0.11453113,6.88883257,1.89714921,-0.0414659604,6.33651161,2.10333467,0.0718697831,5.79609108,2.33617759,-0.118464172,5.27379084,2.67407107,-0.0457060486,4.82868481,3.2001524,0.0682782531,4.49137211,3.6373508,-0.094817996,4.00460863,3.86960387,-0.0777027234,3.40754199,3.94000602,0.119715407,2.94951439
34,0.30079183,-0.266738355,8.14345455,0.669279456,-0.155484542,7.69151545,1.10687363,-0.00796226412,7.24985456,1.59500527,-0.117559537,6.79270935,1.9089824,-0.0456579179,6.23912764,2.11060047,0.0672725141,5.69807577,2.34075856,-0.121860191,5.17504692,2.6772995,-0.0494774021,4.73203564,3.20675945,0.0628650114,4.3993206,3.64600873,-0.0975712836,3.9122541,3.87348294,-0.0823258385,3.31327486,3.93508267,0.116079859,2.85922432
35,0.310807467,-0.274051219,8.04008579,0.679109871,-0.16287829,7.58981991,1.11848235,-0.0154545186,7.1500349,1.60901856,-0.120580547,6.69382429,1.9207716,-0.0498491228,6.1390028,2.11785507,0.0626758039,5.59733963,2.34539795,-0.125250876,5.07357216,2.68058586,-0.0532192774,4.63266182,3.21335292,0.0574118271,4.30452681,3.65461874,-0.100324765,3.81714082,3.87729573,-0.0869109631,3.21630192,3.93014312,0.112417378,2.76632524
36,0.32089746,-0.281345397,7.93393421,0.689013779,-0.170258075,7.48535728,1.13014686,-0.0229869522,7.04746532,1.62300515,-0.123595104,6.59217882,1.93251622,-0.0540405586,6.03613806,2.12509871,0.0580800883,5.49388313,2.35009527,-0.128635943,4.9693675,2.68393087,-0.0569326207,4.53056288,3.21993351,0.0519197583,4.20698977,3.66317868,-0.103078641,3.71926999,3.88104248,-0.0914591774,3.1166234,3.92518997,0.108728848,2.6708138
37,0.331061423,-0.288620859,7.82500076,0.698991358,-0.177623689,7.37812853,1.14186656,-0.0305582061,6.9421463,1.63696301,-0.126604125,6.48777437,1.94421589,-0.0582332239,5.93053436,2.13233185,0.0534857884,5.38770628,2.35485005,-0.132015109,4.86243296,2.68733525,-0.0606183633,4.42573833,3.22650194,0.0463898405,4.106709,3.67168689,-0.105833113,3.61864233,3.88472319,-0.0959715247,3.01423979,3.92022562,0.105015136,2.57268691
38,0.341299087,-0.295877546,7.71328688,0.709042788,-0.184974909,7.26813412,1.15364099,-0.0381669328,6.83407927,1.65089011,-0.129608542,6.3806119,1.95587027,-0.0624280609,5.82219362,2.13955522,0.0488932654,5.27880907,2.35966206,-0.135388076,4.75276899,2.69079947,-0.0642774031,4.31818724,3.23305845,0.0408231206,4.00368404,3.68014121,-0.108588405,3.51525903,3.88833809,-0.100449048,2.90915132,3.91525221,0.101277091,2.47194099
39,0.351610214,-0.303115368,7.59879303,0.719168365,-0.19231154,7.15537453,1.16546965,-0.0458117723,6.72326469,1.66478455,-0.132609278,6.27069235,1.96747911,-0.0666259751,5.71111631,2.14676929,0.0443028323,5.16719198,2.36453032,-0.138754591,4.64037609,2.69432449,-0.0679106116,4.20790958,3.23960328,0.0352206714,3.89791417,3.68853974,-0.111344732,3.40912056,3.89188719,-0.104892761,2.80135846,3.91027188,0.0975155234,2.36857319
40,0.361994505,-0.310334295,7.4815197,0.72936821,-0.19963336,7.03985071,1.17735183,-0.0534913428,6.60970354,1.67864442,-0.135607272,6.15801716,1.97904205,-0.0708278716,5.59730387,2.15397453,0.0397147648,5.05285549,2.36945486,-0.142114341,4.52525425,2.69791055,-0.0715188459,4.09490442,3.24613714,0.0295835454,3.78939891,3.69688082,-0.114102349,3.30022812,3.89537096,-0.109303646,2.6908617,3.90528703,0.0937312171,2.26258039
41,0.372451574,-0.317534298,7.36146832,0.739642441,-0.206940204,6.92156315,1.18928707,-0.0612042286,6.49339676,1.69246805,-0.138603419,6.04258728,1.9905591,-0.0750346258,5.48075676,2.16117167,0.0351293012,4.93579912,2.37443471,-0.145467073,4.40740395,2.70155835,-0.0751029328,3.97917175,3.25266004,0.0239128191,3.67813778,3.70516276,-0.116861492,3.18858242,3.89878964,-0.113682672,2.57766104,3.90029955,0.089924939,2.15395999
42,0.382981151,-0.324715346,7.23863935,0.749991238,-0.214231879,6.80051279,1.20127487,-0.0689490288,6.3743453,1.70625365,-0.141598657,5.92440319,2.00203013,-0.0792470798,5.36147642,2.16836119,0.0305466428,4.81602335,2.37946987,-0.148812488,4.28682518,2.70526862,-0.078663677,3.86071062,3.25917268,0.0182095431,3.56413007,3.71338344,-0.119622439,3.07418442,3.90214348,-0.118030757,2.46175671,3.89531112,0.0860974416,2.04270887
43,0.393582851,-0.33187744,7.11303377,0.76041466,-0.22150822,6.67670059,1.21331453,-0.0767243057,6.25255013,1.71999967,-0.144593894,5.80346632,2.01345515,-0.083466053,5.23946333,2.17554355,0.0259669665,4.69352818,2.38455963,-0.152150318,4.16351843,2.7090416,-0.0822018832,3.73952079,3.26567507,0.012474807,3.44737554,3.7215414,-0.122385472,2.95703483,3.9054327,-0.122348808,2.34314919,3.89032388,0.0822494403,1.92882454
44,0.404256344,-0.33902055,6.98465204,0.770912766,-0.228769049,6.55012655,1.22540545,-0.0845286325,6.1280117,1.73370433,-0.147590041,5.67977762,2.02483416,-0.0876923427,5.11471844,2.18271947,0.021390412,4.5683136,2.38970375,-0.155480281,4.03748417,2.71287799,-0.0857183486,3.61560178,3.27216768,0.00670971628,3.32787395,3.72963524,-0.125150874,2.8371346,3.90865779,-0.126637727,2.22183871,3.8853395,0.0783816278,1.81230426
45,0.415001273,-0.346144676,6.8534956,0.781485617,-0.236014202,6.42079163,1.23754704,-0.0923605561,6.00073099,1.74736631,-0.150588021,5.55333805,2.03616714,-0.0919267014,4.9872427,2.18988967,0.016817078,4.44037962,2.39490175,-0.158802137,3.90872264,2.71677804,-0.0892138109,3.48895311,3.27865076,0.000915348297,3.20562458,3.73766303,-0.127918959,2.71448421,3.91181898,-0.130898356,2.09782529,3.88035989,0.0744946823,1.69314563
